id,fuel,available
49858,6.0,True
49859,16.0,True
52406,77.0,True
52414,44.0,True
55346,43.0,True
55365,45.0,True
55563,10.0,True
55564,72.0,True
61844,60.0,True
61859,53.0,True
61860,58.0,True
63811,90.0,True
67351,88.0,True
67765,5.0,True
67767,37.0,True
67768,85.0,True
67769,80.0,True
67770,97.0,True
67774,31.0,True
67776,23.0,True
67779,7.0,True
67789,26.0,True
69955,23.0,True
70205,41.0,True
74055,23.0,True
74065,47.0,True
74066,41.0,True
74090,10.0,True
74091,96.0,True
74095,42.0,True
74096,38.0,True
57634,66.0,True
60542,32.0,True
60547,43.0,True
60548,64.0,True
60568,94.0,True
60570,82.0,True
60583,68.0,True
60590,55.0,True
60592,39.0,True
60617,75.0,True
60620,50.0,True
60623,62.0,True
60632,57.0,True
60636,91.0,True
60638,89.0,True
60644,89.0,True
60648,32.0,True
60654,29.0,True
60661,29.0,True
60669,48.0,True
60674,59.0,True
60685,32.0,True
60691,89.0,True
60693,89.0,True
60702,87.0,True
60707,62.0,True
60710,41.0,True
60956,41.0,True
60964,41.0,True
60965,52.0,True
60989,91.0,True
60992,68.0,True
60996,57.0,True
61000,64.0,True
61439,87.0,True
61446,39.0,True
61475,57.0,True
61483,91.0,True
62293,43.0,True
62305,66.0,True
66444,41.0,True
66446,59.0,True
66448,29.0,True
66462,83.0,True
66472,61.0,True
66474,82.0,True
66481,38.0,True
66485,62.0,True
66491,66.0,True
68452,52.0,True
68454,73.0,True
68460,50.0,True
68462,39.0,True
68467,32.0,True
68470,66.0,True
68477,36.0,True
68478,64.0,True
68497,45.0,True
68507,82.0,True
68508,68.0,True
68538,59.0,True
68542,59.0,True
68555,32.0,True
68560,75.0,True
68562,66.0,True
68563,50.0,True
68564,41.0,True
68567,36.0,True
70714,68.0,True
70718,43.0,True
70724,80.0,True
70775,48.0,True
70783,89.0,True
70790,42.0,True
70800,39.0,True
70808,80.0,True
70813,43.0,True
70828,96.0,True
70832,73.0,True
70834,36.0,True
70845,52.0,True
70848,67.0,True
70859,39.0,True
70865,96.0,True
70867,52.0,True
70874,45.0,True
70882,36.0,True
70898,67.0,True
70906,32.0,True
70916,66.0,True
70922,34.0,True
70931,87.0,True
70944,25.0,True
71142,41.0,True
71149,57.0,True
71201,50.0,True
71219,29.0,True
71245,71.0,True
73848,75.0,True
73858,48.0,True
73859,80.0,True
73870,39.0,True
73871,87.0,True
73875,59.0,True
73911,62.0,True
73913,32.0,True
73922,82.0,True
73930,44.0,True
73960,45.0,True
73977,96.0,True
73996,88.0,True
74014,43.0,True
74020,80.0,True
74022,91.0,True
78973,20.0,True
78975,50.0,True
78976,75.0,True
78979,66.0,True
78987,45.0,True
79018,34.0,True
79059,100.0,True
79075,39.0,True
79084,91.0,True
79099,41.0,True
79100,41.0,True
79103,35.0,True
79113,102.0,True
79115,89.0,True
79135,33.0,True
79146,82.0,True
79149,68.0,True
79163,68.0,True
79176,89.0,True
79177,50.0,True
79183,86.0,True
79191,88.0,True
79216,50.0,True
79217,62.0,True
79260,78.0,True
79283,64.0,True
79311,27.0,True
79332,52.0,True
79344,44.0,True
79347,25.0,True
79414,45.0,True
79417,73.0,True
79431,80.0,True
79450,98.0,True
79462,62.0,True
79486,48.0,True
79502,67.0,True
79517,100.0,True
79539,66.0,True
79555,40.0,True
79556,85.0,True
79562,59.0,True
79573,80.0,True
79617,44.0,True
79632,71.0,True
79643,22.0,True
79656,46.0,True
79662,29.0,True
79666,25.0,True
79669,75.0,True
79677,94.0,True
79679,37.0,True
79681,78.0,True
79698,21.0,True
79704,82.0,True
79720,82.0,True
79778,25.0,True
79779,82.0,True
79780,98.0,True
79800,45.0,True
79822,82.0,True
79825,42.0,True
79889,80.0,True
79911,64.0,True
79952,64.0,True
79963,65.0,True
80009,68.0,True
80018,31.0,True
80081,52.0,True
80144,48.0,True
80170,80.0,True
80185,46.0,True
80212,96.0,True
80233,78.0,True
80236,91.0,True
52787,20.0,True
52788,12.0,True
52789,70.0,True
52790,12.0,True
52792,50.0,True
52793,12.0,True
52794,86.0,True
52795,66.0,True
52796,14.0,True
52797,18.0,True
52798,34.0,True
52799,36.0,True
52800,26.0,True
52803,34.0,True
52808,30.0,True
52810,14.0,True
52812,16.0,True
52818,58.0,True
54637,4.0,True
54646,38.0,True
54656,92.0,True
55305,52.0,True
66633,41.0,True
66644,31.0,True
66689,42.0,True
66701,61.0,True
66702,87.0,True
66708,31.0,True
66714,65.0,True
66736,44.0,True
66753,69.0,True
66768,52.0,True
66773,85.0,True
66776,34.0,True
66799,72.0,True
66817,37.0,True
66824,52.0,True
66829,76.0,True
66830,54.0,True
66846,50.0,True
66847,42.0,True
66848,71.0,True
66851,91.0,True
66865,91.0,True
68638,65.0,True
68639,41.0,True
68650,93.0,True
68654,82.0,True
68655,63.0,True
68666,59.0,True
68670,87.0,True
68678,46.0,True
68681,82.0,True
68708,97.0,True
68726,22.0,True
68735,50.0,True
68742,50.0,True
68744,39.0,True
68773,71.0,True
68779,67.0,True
68785,48.0,True
68808,89.0,True
68813,74.0,True
68819,57.0,True
68831,31.0,True
68874,57.0,True
68879,52.0,True
68896,91.0,True
68930,87.0,True
68944,35.0,True
68948,72.0,True
68965,95.0,True
68973,91.0,True
71286,26.0,True
71290,35.0,True
71348,74.0,True
71362,69.0,True
71370,48.0,True
71404,31.0,True
73544,46.0,True
73562,52.0,True
73578,35.0,True
69116,83.0,True
69135,88.0,True
69154,42.0,True
69198,40.0,True
69740,33.0,True
69745,90.0,True
69747,53.0,True
69751,88.0,True
69835,68.0,True
75860,35.0,True
75883,96.0,True
75896,57.0,True
76027,88.0,True
78400,72.0,True
78411,59.0,True
78424,44.0,True
78428,37.0,True
78449,35.0,True
78452,35.0,True
78489,42.0,True
78596,37.0,True
78620,62.0,True
78631,40.0,True
78634,46.0,True
78648,71.0,True
78649,90.0,True
78664,75.0,True
78726,72.0,True
78727,31.0,True
78733,35.0,True
78746,33.0,True
78750,69.0,True
78758,74.0,True
78770,68.0,True
78791,58.0,True
78792,35.0,True
78794,92.0,True
78797,88.0,True
78812,61.0,True
83393,36.0,True
83438,30.0,True
83465,90.0,True
83512,48.0,True
83580,86.0,True
83594,65.0,True
83645,93.0,True
83657,41.0,True
83671,25.0,True
83703,26.0,True
83740,48.0,True
83767,53.0,True
83790,20.0,True
83841,55.0,True
83874,66.0,True
83886,82.0,True
87750,90.0,True
87789,60.0,True
87822,86.0,True
87833,84.0,True
87910,78.0,True
88041,86.0,True
88051,52.0,True
78383,84.0,True
78385,88.0,True
84313,20.0,True
84314,46.0,True
81841,53.0,True
81843,65.0,True
81847,46.0,True
81848,52.0,True
81849,78.0,True
81850,89.0,True
81851,70.0,True
81854,84.0,True
81855,61.0,True
81856,73.0,True
81857,43.0,True
81859,81.0,True
81864,40.0,True
81865,33.0,True
81866,40.0,True
81867,46.0,True
81868,46.0,True
81873,34.0,True
81875,51.0,True
81876,80.0,True
81877,62.0,True
81878,50.0,True
81879,37.0,True
81881,72.0,True
81883,43.0,True
81884,78.0,True
81886,41.0,True
81888,78.0,True
81890,89.0,True
81891,44.0,True
81892,50.0,True
81895,79.0,True
81896,71.0,True
81899,82.0,True
81900,80.0,True
81902,29.0,True
81903,39.0,True
81904,52.0,True
81906,82.0,True
81908,80.0,True
81909,43.0,True
81913,80.0,True
81914,42.0,True
81916,86.0,True
81917,84.0,True
81918,41.0,True
81919,38.0,True
81923,36.0,True
81924,89.0,True
81925,69.0,True
81926,85.0,True
81927,67.0,True
81928,48.0,True
81930,82.0,True
81931,65.0,True
81933,62.0,True
81934,54.0,True
81937,38.0,True
81938,40.0,True
81939,72.0,True
81941,55.0,True
81946,48.0,True
81947,78.0,True
81949,37.0,True
81950,24.0,True
81952,80.0,True
81954,72.0,True
81956,79.0,True
81959,31.0,True
81961,89.0,True
81963,50.0,True
81964,55.0,True
81965,73.0,True
81966,32.0,True
81967,99.0,True
81973,64.0,True
81977,55.0,True
81980,77.0,True
81985,40.0,True
81986,37.0,True
81988,81.0,True
81990,73.0,True
81992,50.0,True
81995,62.0,True
81996,60.0,True
81998,72.0,True
81999,61.0,True
82007,80.0,True
82008,75.0,True
82010,37.0,True
82011,83.0,True
82012,85.0,True
82013,52.0,True
82015,77.0,True
82016,78.0,True
82017,77.0,True
82019,50.0,True
82020,49.0,True
82022,24.0,True
82023,26.0,True
82024,63.0,True
82025,34.0,True
82026,63.0,True
82032,71.0,True
82033,39.0,True
82036,59.0,True
82039,68.0,True
82040,41.0,True
82043,77.0,True
82044,34.0,True
82045,75.0,True
82046,69.0,True
82047,48.0,True
82050,59.0,True
82051,73.0,True
82052,82.0,True
82054,69.0,True
82057,38.0,True
82059,87.0,True
82062,76.0,True
82063,58.0,True
82064,51.0,True
82068,52.0,True
82070,50.0,True
82071,34.0,True
82072,82.0,True
82074,63.0,True
82075,72.0,True
82077,71.0,True
82080,68.0,True
82082,62.0,True
82085,78.0,True
82088,61.0,True
82089,83.0,True
82090,50.0,True
82091,50.0,True
82093,30.0,True
82094,35.0,True
82098,24.0,True
82099,35.0,True
82100,75.0,True
82101,56.0,True
82103,24.0,True
82104,27.0,True
82105,54.0,True
82108,35.0,True
82109,39.0,True
82110,56.0,True
82111,54.0,True
82112,32.0,True
82113,58.0,True
82114,52.0,True
82115,59.0,True
82117,33.0,True
82118,30.0,True
82121,82.0,True
82125,79.0,True
82126,60.0,True
82128,26.0,True
82129,67.0,True
82130,57.0,True
82131,34.0,True
82132,44.0,True
82134,67.0,True
82135,67.0,True
82136,71.0,True
82139,47.0,True
82143,51.0,True
82144,43.0,True
82146,76.0,True
82148,87.0,True
82149,77.0,True
82150,68.0,True
82151,41.0,True
82152,66.0,True
82153,80.0,True
82154,59.0,True
82155,72.0,True
82156,51.0,True
82157,77.0,True
82158,36.0,True
82159,87.0,True
82160,23.0,True
82163,77.0,True
82166,35.0,True
82168,67.0,True
82169,77.0,True
82173,48.0,True
82175,33.0,True
82177,40.0,True
82178,28.0,True
82179,70.0,True
82180,50.0,True
82187,81.0,True
82189,86.0,True
82190,72.0,True
82191,86.0,True
82192,71.0,True
82193,39.0,True
82194,72.0,True
82196,65.0,True
82199,30.0,True
82201,43.0,True
82203,67.0,True
82205,79.0,True
82206,40.0,True
82209,71.0,True
82210,56.0,True
82212,73.0,True
82214,47.0,True
82215,55.0,True
82217,53.0,True
82218,37.0,True
82219,59.0,True
82220,31.0,True
82223,78.0,True
82224,25.0,True
82227,45.0,True
82234,64.0,True
82237,33.0,True
82238,27.0,True
82239,86.0,True
82242,40.0,True
82246,68.0,True
82248,64.0,True
82249,61.0,True
82250,65.0,True
82251,57.0,True
82252,23.0,True
82253,50.0,True
82257,60.0,True
82260,40.0,True
82261,31.0,True
82262,68.0,True
82267,49.0,True
82268,73.0,True
82269,75.0,True
82271,40.0,True
82272,30.0,True
82273,66.0,True
82274,41.0,True
82275,50.0,True
82276,51.0,True
82278,24.0,True
82279,74.0,True
82280,69.0,True
82281,47.0,True
82283,47.0,True
82284,36.0,True
82289,70.0,True
82290,73.0,True
82291,81.0,True
82294,61.0,True
82295,28.0,True
82297,37.0,True
82298,89.0,True
82299,76.0,True
82301,51.0,True
82302,45.0,True
82303,42.0,True
82304,82.0,True
82307,69.0,True
82308,43.0,True
82310,69.0,True
82312,77.0,True
82313,38.0,True
82314,36.0,True
82316,59.0,True
82319,44.0,True
82323,52.0,True
82324,53.0,True
82325,33.0,True
82329,79.0,True
82331,76.0,True
82333,67.0,True
82335,71.0,True
82337,76.0,True
82342,46.0,True
82343,44.0,True
82345,62.0,True
82346,61.0,True
82347,58.0,True
82348,83.0,True
82349,49.0,True
82351,30.0,True
82353,80.0,True
82355,45.0,True
82356,38.0,True
82358,63.0,True
82363,81.0,True
82364,99.0,True
82365,37.0,True
82366,50.0,True
82369,59.0,True
82373,49.0,True
82378,32.0,True
82380,47.0,True
82381,24.0,True
82383,41.0,True
82384,56.0,True
82385,50.0,True
82386,46.0,True
82389,83.0,True
82390,29.0,True
82391,64.0,True
82392,65.0,True
82395,78.0,True
82396,67.0,True
82397,65.0,True
82398,68.0,True
82400,89.0,True
82401,68.0,True
82402,85.0,True
82403,55.0,True
82404,46.0,True
82405,56.0,True
82406,41.0,True
82407,84.0,True
82408,33.0,True
82409,88.0,True
82410,69.0,True
82412,37.0,True
82417,76.0,True
82418,68.0,True
82425,32.0,True
82426,89.0,True
82428,85.0,True
82429,32.0,True
82433,54.0,True
82439,64.0,True
82445,64.0,True
82449,53.0,True
82450,29.0,True
82452,43.0,True
82453,52.0,True
82455,44.0,True
82456,62.0,True
82457,61.0,True
82459,41.0,True
82466,88.0,True
82467,73.0,True
82468,27.0,True
82469,77.0,True
82472,51.0,True
82474,71.0,True
82475,73.0,True
82476,75.0,True
82480,99.0,True
82482,76.0,True
82483,36.0,True
82487,49.0,True
82488,77.0,True
82490,34.0,True
82493,75.0,True
82494,69.0,True
82495,70.0,True
82497,80.0,True
82500,39.0,True
82501,70.0,True
82502,79.0,True
82504,24.0,True
82510,66.0,True
82512,66.0,True
82513,55.0,True
82514,29.0,True
82517,61.0,True
82518,74.0,True
82519,51.0,True
82522,38.0,True
82524,45.0,True
82526,48.0,True
82532,51.0,True
82535,63.0,True
82536,72.0,True
82538,70.0,True
82539,29.0,True
82540,35.0,True
82544,72.0,True
82546,69.0,True
82548,76.0,True
82549,76.0,True
82550,34.0,True
82554,75.0,True
82557,72.0,True
82559,74.0,True
82560,88.0,True
82562,35.0,True
82563,42.0,True
82564,81.0,True
82566,78.0,True
82567,76.0,True
82571,69.0,True
82573,33.0,True
82574,36.0,True
82581,88.0,True
82582,24.0,True
82583,68.0,True
82585,61.0,True
82590,41.0,True
82592,61.0,True
82599,88.0,True
82600,98.0,True
82604,26.0,True
82605,79.0,True
82606,59.0,True
82609,67.0,True
82612,41.0,True
82614,70.0,True
82615,71.0,True
82617,68.0,True
82619,55.0,True
82620,82.0,True
82622,77.0,True
82623,72.0,True
82624,52.0,True
82625,49.0,True
82627,51.0,True
82630,79.0,True
82634,81.0,True
82637,48.0,True
82638,72.0,True
82639,80.0,True
82640,28.0,True
82641,73.0,True
82642,41.0,True
82643,21.0,True
82644,86.0,True
82645,39.0,True
82648,26.0,True
82651,81.0,True
82655,80.0,True
82658,31.0,True
82659,29.0,True
82662,65.0,True
82663,46.0,True
82664,45.0,True
82667,74.0,True
82670,41.0,True
82671,82.0,True
82673,42.0,True
82674,72.0,True
82677,45.0,True
82682,100.0,True
82683,76.0,True
82685,51.0,True
82687,72.0,True
82692,48.0,True
82693,73.0,True
82695,51.0,True
82696,49.0,True
82699,61.0,True
82705,38.0,True
82707,61.0,True
82708,64.0,True
82709,41.0,True
82710,96.0,True
82712,33.0,True
82714,62.0,True
82715,40.0,True
82716,51.0,True
82724,59.0,True
82725,28.0,True
82727,80.0,True
82730,86.0,True
82731,78.0,True
82734,27.0,True
82736,97.0,True
82737,80.0,True
82739,56.0,True
82740,75.0,True
82843,96.0,True
82845,24.0,True
82849,60.0,True
82851,78.0,True
82852,26.0,True
82853,68.0,True
82854,80.0,True
82855,55.0,True
82856,87.0,True
82857,49.0,True
82859,70.0,True
82863,58.0,True
82864,44.0,True
82865,67.0,True
82867,69.0,True
82868,30.0,True
82869,46.0,True
82870,52.0,True
82880,53.0,True
82881,80.0,True
82885,88.0,True
82887,38.0,True
82888,57.0,True
82890,83.0,True
82893,50.0,True
82897,30.0,True
82899,87.0,True
82900,81.0,True
82901,77.0,True
82904,100.0,True
82906,66.0,True
82907,75.0,True
82908,41.0,True
82909,58.0,True
82911,80.0,True
82922,62.0,True
82923,61.0,True
82926,24.0,True
82930,55.0,True
82932,38.0,True
82934,39.0,True
82935,43.0,True
82936,44.0,True
82938,73.0,True
82941,56.0,True
82943,54.0,True
82945,30.0,True
82946,39.0,True
82951,97.0,True
82954,65.0,True
82956,31.0,True
82960,71.0,True
82962,23.0,True
82963,67.0,True
82967,73.0,True
82968,79.0,True
82969,75.0,True
82972,21.0,True
82973,36.0,True
82974,34.0,True
82976,78.0,True
82979,55.0,True
82980,26.0,True
82987,70.0,True
82989,64.0,True
82990,37.0,True
82991,32.0,True
82994,34.0,True
82995,42.0,True
82996,64.0,True
